what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339300827241
started,bundle,com.altera.sbtgui.core,11.1.0.216,"com.altera.sbtgui.core",1339300827992
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1339300827997
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1339300828171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339300829451
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339300831269
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1339300832577
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1339300832582
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1339300834279
opened,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339300839202
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1339300839459
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1339300839463
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1339300839464
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1339300839464
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1339300839470
started,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1339300839511
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339301175969
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339301177146
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339301207794
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339301207800
