what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339299444359
started,bundle,com.altera.sbtgui.core,11.1.0.216,"com.altera.sbtgui.core",1339299444678
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1339299444685
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1339299444860
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299446604
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299446949
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1339299451328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299451354
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: BSP not valid.\r\nSEVERE: BSP not valid.\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1339299453122
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299473783
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299514249
started,bundle,org.eclipse.core.databinding,1.3.100.I20100601-0800,"org.eclipse.core.databinding",1339299516926
started,bundle,org.eclipse.core.databinding.property,1.3.0.I20100601-0800,"org.eclipse.core.databinding.property",1339299516935
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1339299519614
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1339299519651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299528641
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1339299528661
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299528933
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299529030
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1339299530264
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339299533928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299535475
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299535785
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299536337
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299538510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339299553578
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: BSP not valid.\r\nSEVERE: BSP not valid.\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1339299555288
