what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338730829812
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1338730835442
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1338730837887
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1338730843016
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338730845122
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338730850556
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338730851390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338731905154
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338731910909
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338731913146
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338732202807
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1338732212691
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1338732217695
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338732225316
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338732309382
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338732315014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338732326295
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1338732334383
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1338732339388
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338732347420
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338732388571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338732389366
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338732813043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338732850853
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338733047453
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1338733055754
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1338733060760
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338733067352
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338733213130
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338733218807
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338733228594
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1338733235964
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1338733240986
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338733245008
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338733298974
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338733302898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338733317072
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1338733334609
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1338733340139
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338733346801
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338733496162
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338733499022
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.exit",1338733499144
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1338733499172
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.216,"com.altera.debug.cdi.gdb.plugin",1338733499172
stopped,bundle,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch",1338733500173
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1338733500173
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1338733500174
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1338733500175
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1338733500175
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1338733500175
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1338733500176
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1338733500176
